Episode = 0, Score = -101.23940983360418, Avg_Score = -101.23940983360418
Episode = 1, Score = -218.9246136121307, Avg_Score = -160.08201172286743
Episode = 2, Score = -519.1733933796152, Avg_Score = -279.77913894178334
Episode = 3, Score = -199.8968430713804, Avg_Score = -259.8085649741826
Episode = 4, Score = -276.53584324261413, Avg_Score = -263.15402062786893
Episode = 5, Score = -212.37461504310937, Avg_Score = -254.69078636374232
Episode = 6, Score = -220.83309975360942, Avg_Score = -249.8539739908662
Episode = 7, Score = -277.10047135414493, Avg_Score = -253.25978616127605
Episode = 8, Score = -106.26468083183818, Avg_Score = -236.9269966802274
Episode = 9, Score = -278.76082031521025, Avg_Score = -241.1103790437257
Episode = 10, Score = -247.29851476643927, Avg_Score = -241.67293683669968
Episode = 11, Score = -57.72868671223169, Avg_Score = -226.34424932632734
Episode = 12, Score = -57.81857368067715, Avg_Score = -213.38073581512347
Episode = 13, Score = -32.875434145113346, Avg_Score = -200.48749998155134
Episode = 14, Score = -474.66259438992745, Avg_Score = -218.76583960877642
Episode = 15, Score = -210.705130357116, Avg_Score = -218.26204528054762
Episode = 16, Score = -122.46271316524177, Avg_Score = -212.62679045023552
Episode = 17, Score = -134.79502039570016, Avg_Score = -208.30280322498356
Episode = 18, Score = 158.19419111843612, Avg_Score = -189.01348773322462
Episode = 21, Score = -91.09579825824977, Avg_Score = -184.11760325947589
Episode = 22, Score = -23.835655260906464, Avg_Score = -176.4851295452583
Episode = 23, Score = -274.6826102490229, Avg_Score = -180.94865139542944
Episode = 24, Score = -85.48521628297803, Avg_Score = -176.79806726010546
Episode = 25, Score = -189.70640565280382, Avg_Score = -177.33591469313453
Episode = 26, Score = -216.15324945702432, Avg_Score = -178.88860808369012
Episode = 27, Score = -197.19146264940318, Avg_Score = -179.59256402852526
Episode = 28, Score = -149.00125109832013, Avg_Score = -178.45955243851765
Episode = 31, Score = -185.02434102084285, Avg_Score = -178.6940091736007
Episode = 32, Score = 69.23348684108026, Avg_Score = -170.14478517309448
Episode = 33, Score = -240.22191626368397, Avg_Score = -172.4806895427808
Episode = 34, Score = -54.13121877353103, Avg_Score = -168.6629646792566
Episode = 35, Score = -66.1444676588726, Avg_Score = -165.45926164736957
Episode = 36, Score = -78.70476945170942, Avg_Score = -162.83033764144048
Episode = 37, Score = -183.49704734675498, Avg_Score = -163.43818204453797
Episode = 38, Score = -103.68497370788037, Avg_Score = -161.73094752063344
Episode = 39, Score = -44.494925482897926, Avg_Score = -158.4743913529186
Episode = 40, Score = -394.7301369147199, Avg_Score = -164.8596817735078
Episode = 41, Score = 53.836320256722935, Avg_Score = -159.10452382534385
Episode = 42, Score = -152.99671987889488, Avg_Score = -158.94791346774258
Episode = 44, Score = -141.21553579705875, Avg_Score = -158.5046040259755
Episode = 45, Score = 222.7805333173073, Avg_Score = -149.20496652979787
Episode = 46, Score = -406.71821168766803, Avg_Score = -155.33623427165193
Episode = 47, Score = -120.54694858630754, Avg_Score = -154.5271811161788
Episode = 48, Score = -345.2793817372267, Avg_Score = -158.8624584030208
Episode = 49, Score = -58.24528067313403, Avg_Score = -156.62652112013444
Episode = 50, Score = -134.220982810773, Avg_Score = -156.13944420036572
Episode = 51, Score = 166.53630664361333, Avg_Score = -149.27400269304704
Episode = 52, Score = 136.9387282029767, Avg_Score = -143.3112374660465
Episode = 53, Score = 93.13848369317341, Avg_Score = -138.485732952593
Episode = 54, Score = 76.31122684630674, Avg_Score = -134.18979375661502
Episode = 55, Score = -192.10669260079044, Avg_Score = -135.32541922414788
Episode = 56, Score = 134.98965574781863, Avg_Score = -130.1270523977639
Episode = 57, Score = -277.729496592326, Avg_Score = -132.91200417501977
