Episode = 103, Score = 214.07842941750988, Avg_Score = -46.8290427609035
Episode = 104, Score = -84.61247414057658, Avg_Score = -47.2353162165989
Episode = 105, Score = 244.9309675340054, Avg_Score = -44.12716426180524
Episode = 106, Score = 206.96759111554667, Avg_Score = -41.48406157362259
Episode = 107, Score = 239.41628965661585, Avg_Score = -38.55801624830761
Episode = 108, Score = -119.38595440245435, Avg_Score = -39.39129396123696
Episode = 109, Score = 236.6159388276046, Avg_Score = -36.574893626656944
Episode = 110, Score = 115.20221310381729, Avg_Score = -35.041791538470335
Episode = 111, Score = -25.32490429699004, Avg_Score = -34.94462266605553
Episode = 112, Score = 228.03864649304975, Avg_Score = -31.806066159145058
Episode = 113, Score = -568.746354297021, Avg_Score = -33.91381960904796
Episode = 114, Score = 228.27066187248857, Avg_Score = -29.769631567879216
Episode = 115, Score = -35.423230241026346, Avg_Score = -29.06919135356288
Episode = 116, Score = 239.1981824039775, Avg_Score = -21.956528344292373
Episode = 117, Score = 200.1373279367501, Avg_Score = -19.22187125574001
Episode = 118, Score = 12.441279956619468, Avg_Score = -14.886800182119725
Episode = 119, Score = -14.137103077340285, Avg_Score = -12.75170523180401
Episode = 120, Score = -21.137947414304932, Avg_Score = -11.0797077884569
Episode = 121, Score = 14.71198509776633, Avg_Score = -10.2740000203468
Episode = 122, Score = 193.31702693891742, Avg_Score = -5.811062909645518
Episode = 123, Score = 176.41249251256585, Avg_Score = -2.6736030015345964
Episode = 124, Score = 52.98146782228926, Avg_Score = 0.9509081189427192
Episode = 125, Score = 33.31911687379235, Avg_Score = 1.8203665659882722
Episode = 126, Score = -22.961296007755365, Avg_Score = 2.6280473978033636
Episode = 127, Score = 216.94893775758135, Avg_Score = 5.915359069490178
Episode = 128, Score = 258.8500288994633, Avg_Score = 9.576210630226846
Episode = 129, Score = 233.78450708982032, Avg_Score = 12.69339486636059
Episode = 130, Score = -11.056400977409183, Avg_Score = 14.05686797306616
Episode = 131, Score = 191.3863870283377, Avg_Score = 16.949275792913124
Episode = 132, Score = 144.89282901124713, Avg_Score = 20.387796574213397
Episode = 133, Score = 225.2850182539991, Avg_Score = 25.205608429737758
Episode = 134, Score = 237.930036230235, Avg_Score = 27.960445139452737
Episode = 135, Score = 221.02190175503492, Avg_Score = 30.658058364408102
Episode = 136, Score = 228.18221905852, Avg_Score = 36.02782212144852
Episode = 137, Score = 262.11731438561935, Avg_Score = 42.588182713247285
Episode = 138, Score = 175.73424923659923, Avg_Score = 44.564496121346004
Episode = 139, Score = 223.32810956564464, Avg_Score = 45.41884521246505
