Episode = 91, Score = -206.2913757173347, Avg_Score = -242.57056819099415
Episode = 92, Score = -168.79648845991846, Avg_Score = -241.77729851646643
Episode = 93, Score = -728.5053858429931, Avg_Score = -246.95525689228054
Episode = 94, Score = -424.2084703905185, Avg_Score = -248.821080192262
Episode = 95, Score = -76.80111576927376, Avg_Score = -247.02920556285594
Episode = 96, Score = -112.49398368141634, Avg_Score = -245.6422445125318
Episode = 97, Score = -380.11073780401404, Avg_Score = -247.01437199509795
Episode = 98, Score = -54.875499083273795, Avg_Score = -245.07357529901893
Episode = 99, Score = -260.82199572953687, Avg_Score = -245.2310595033241
Episode = 100, Score = -228.79730822614854, Avg_Score = -246.63576415674163
Episode = 102, Score = -278.1609187061677, Avg_Score = -248.6259148141737
Episode = 103, Score = -458.65712640924266, Avg_Score = -248.90817608550086
Episode = 104, Score = -32.7657594012213, Avg_Score = -246.15463661932466
Episode = 106, Score = -112.77085416769566, Avg_Score = -241.84940143979523
Episode = 107, Score = -129.95525037069555, Avg_Score = -241.56565689310767
Episode = 109, Score = -156.46615558782662, Avg_Score = -241.58963438050577
Episode = 110, Score = -478.8035267417695, Avg_Score = -244.17670371692964
Episode = 111, Score = -388.6831887147652, Avg_Score = -245.18062997346703
Episode = 112, Score = 30.390890175731258, Avg_Score = -241.82028651791632
Episode = 113, Score = 98.58516163514341, Avg_Score = -238.5707190309432
Episode = 114, Score = -257.1973733787318, Avg_Score = -237.8801603797253
Episode = 115, Score = -145.24792813487028, Avg_Score = -232.81681627751118
Episode = 116, Score = 124.44304685070834, Avg_Score = -231.06691936406034
Episode = 117, Score = 144.14880011906052, Avg_Score = -228.15156542708988
Episode = 118, Score = 86.05178598474944, Avg_Score = -225.66219809416336
Episode = 119, Score = -144.28891423137244, Avg_Score = -225.61402740916066
Episode = 120, Score = -86.92807200315397, Avg_Score = -225.07820853836836
Episode = 121, Score = -73.9214847605059, Avg_Score = -221.40101389312815
Episode = 122, Score = -121.14754534431981, Avg_Score = -221.39732567346687
Episode = 123, Score = 223.7637862511133, Avg_Score = -217.92424333642987
Episode = 124, Score = -148.75508715617156, Avg_Score = -217.5933864368936
Episode = 125, Score = 147.5225388905166, Avg_Score = -214.99201649501762
Episode = 126, Score = 13.095813771892281, Avg_Score = -213.87285935006935
Episode = 127, Score = 176.35133836397932, Avg_Score = -210.40032281136055
Episode = 128, Score = -94.62898740695212, Avg_Score = -209.9918214397715
Episode = 129, Score = -2.194751169026688, Avg_Score = -208.28766967511066
Episode = 130, Score = 226.94734164611404, Avg_Score = -204.17927254326486
Episode = 131, Score = 138.45008675359136, Avg_Score = -199.37712947868818
Episode = 132, Score = 216.22622957398522, Avg_Score = -194.51252822591113
Episode = 133, Score = -6.901975332611556, Avg_Score = -193.08050255152818
Episode = 134, Score = -202.7794622927645, Avg_Score = -189.83611592541584
Episode = 135, Score = 10.691369320479367, Avg_Score = -186.5014664208172
Episode = 136, Score = 184.6912398648649, Avg_Score = -175.6956913112829
Episode = 137, Score = 274.9631169137505, Avg_Score = -167.57913871756983
Episode = 138, Score = 191.12748826349252, Avg_Score = -159.103949626
Episode = 139, Score = -135.94146736460533, Avg_Score = -155.6033388085157
Episode = 140, Score = 154.24374334368082, Avg_Score = -150.17517732906893
Episode = 141, Score = -230.33505382527204, Avg_Score = -151.55196728241194
Episode = 142, Score = -189.65059150541578, Avg_Score = -146.61612398438658
Episode = 143, Score = -113.99652445138663, Avg_Score = -142.1307237526765
Episode = 144, Score = -158.99305410644416, Avg_Score = -142.96113972846484
Episode = 145, Score = 283.54957693593514, Avg_Score = -138.37768806740362
Episode = 146, Score = 45.9109078870327, Avg_Score = -134.36039750014388
Episode = 147, Score = 169.4989978829164, Avg_Score = -129.47752656574187
Episode = 148, Score = 225.39217917663194, Avg_Score = -124.29776780927921
Episode = 149, Score = -103.58848596736783, Avg_Score = -119.56678160139933
Episode = 150, Score = 255.3311544593001, Avg_Score = -112.65554611961704
Episode = 151, Score = 241.78834213515668, Avg_Score = -106.87544357515216
Episode = 152, Score = 192.01275770298668, Avg_Score = -104.91146069550676
Episode = 153, Score = 231.22580427700092, Avg_Score = -97.83680751759
Episode = 154, Score = 225.43468133273717, Avg_Score = -94.72303833287624
Episode = 155, Score = 213.45115200985038, Avg_Score = -91.6178544139864
Episode = 156, Score = 176.820051244731, Avg_Score = -84.1193374033075
Episode = 157, Score = 262.0622649427355, Avg_Score = -79.10973948664369
Episode = 158, Score = 234.06430325808674, Avg_Score = -73.79677259327323
Episode = 159, Score = 214.36963409668084, Avg_Score = -71.54657553752835
Episode = 160, Score = 249.8833198661966, Avg_Score = -66.06840841367979
Episode = 161, Score = 208.60153330280292, Avg_Score = -63.500222034354195
