Episode = 0, Score = -108.62749504252241, Avg_Score = -108.62749504252241
Episode = 1, Score = -145.77006546002463, Avg_Score = -127.19878025127352
Episode = 2, Score = -177.5993262700147, Avg_Score = -143.9989622575206
Episode = 3, Score = -62.71997586313293, Avg_Score = -123.67921565892368
Episode = 4, Score = -87.75412907980188, Avg_Score = -116.49419834309933
Episode = 5, Score = -425.459874480555, Avg_Score = -167.98847769934196
Episode = 6, Score = -156.7710230845201, Avg_Score = -166.3859841829388
Episode = 7, Score = -205.75390695134413, Avg_Score = -171.30697452898949
Episode = 8, Score = -40.47299315261981, Avg_Score = -156.76986548717065
Episode = 9, Score = -109.50071782056376, Avg_Score = -152.04295072050996
Episode = 10, Score = -225.5869939390885, Avg_Score = -158.7287728312898
Episode = 11, Score = -148.03202419702268, Avg_Score = -157.83737711176755
Episode = 12, Score = -128.84678423647568, Avg_Score = -155.60733150597588
Episode = 13, Score = -91.94275868934714, Avg_Score = -151.05986201907382
Episode = 14, Score = -456.52930165384373, Avg_Score = -171.4244913280585
Episode = 15, Score = -220.63670868544602, Avg_Score = -174.5002549128952
Episode = 16, Score = -310.68527055146944, Avg_Score = -182.51113818575251
Episode = 18, Score = -160.99213954692317, Avg_Score = -181.3156382613731
Episode = 19, Score = -488.37664756190514, Avg_Score = -197.47674401403268
Episode = 20, Score = -259.3091971565759, Avg_Score = -200.56836667115982
Episode = 21, Score = -162.38220971816864, Avg_Score = -198.74997824482693
Episode = 22, Score = -366.0370747729113, Avg_Score = -206.35393717792167
Episode = 23, Score = -632.6061487975521, Avg_Score = -224.88664203094908
Episode = 25, Score = -1017.4858729686052, Avg_Score = -257.9116099866847
Episode = 27, Score = -341.42214325285545, Avg_Score = -261.25203131733156
Episode = 28, Score = -193.8062102605025, Avg_Score = -258.6579612766843
Episode = 29, Score = -162.29385172303506, Avg_Score = -255.0889201821047
Episode = 30, Score = -188.9350290578334, Avg_Score = -252.7262812133807
Episode = 31, Score = -318.1150556588274, Avg_Score = -254.98106653908576
Episode = 32, Score = -167.8579473358909, Avg_Score = -252.07696256564594
Episode = 34, Score = -497.6030356960733, Avg_Score = -259.9971584730791
Episode = 36, Score = -199.8086344606356, Avg_Score = -258.11626709769024
Episode = 37, Score = -205.14338215192015, Avg_Score = -256.51102815993966
Episode = 40, Score = -450.2822428814896, Avg_Score = -262.21018153410284
Episode = 41, Score = -239.30444419213262, Avg_Score = -261.5557318957608
Episode = 42, Score = -85.5917749696123, Avg_Score = -256.66784420336785
Episode = 44, Score = -257.2891092247317, Avg_Score = -256.68463514989116
Episode = 45, Score = -72.47088387496032, Avg_Score = -251.8369048531825
Episode = 48, Score = -61.42613714102394, Avg_Score = -246.95457747594767
Episode = 50, Score = -305.54048241998817, Avg_Score = -248.41922509954867
Episode = 51, Score = -249.5110447704316, Avg_Score = -248.445854847619
Episode = 52, Score = -601.5083121091402, Avg_Score = -256.8521038300362
Episode = 53, Score = -87.70544629415602, Avg_Score = -252.91846063152732
Episode = 54, Score = -135.72949207706216, Avg_Score = -250.2550749825622
Episode = 55, Score = 163.07131228811917, Avg_Score = -241.07004415432485
Episode = 56, Score = 102.56461748152267, Avg_Score = -233.59972542311078
Episode = 57, Score = -320.2278856331303, Avg_Score = -235.44287776800482
Episode = 58, Score = -179.55270863893892, Avg_Score = -234.27849924448262
Episode = 60, Score = -184.56575291719616, Avg_Score = -233.26395340106862
Episode = 61, Score = -143.9408996136504, Avg_Score = -231.47749232532024
Episode = 62, Score = -593.4807819004302, Avg_Score = -238.57559604247928
Episode = 63, Score = -310.4739192144091, Avg_Score = -239.95825610347794
Episode = 64, Score = -264.95434969538866, Avg_Score = -240.42988051087247
Episode = 65, Score = -167.24010598393244, Avg_Score = -239.07451431592912
Episode = 66, Score = -200.64144112828134, Avg_Score = -238.3757311670628
Episode = 67, Score = -231.68291095960737, Avg_Score = -238.25621652050106
Episode = 68, Score = -165.50922876169798, Avg_Score = -236.97995357736414
Episode = 69, Score = -16.923641194448862, Avg_Score = -233.18587922593457
Episode = 70, Score = 50.08039568967716, Avg_Score = -228.38475592228014
Episode = 71, Score = -143.34862519206857, Avg_Score = -226.96748707677662
Episode = 72, Score = -26.41404068591676, Avg_Score = -223.67972566053302
Episode = 73, Score = -164.80220976014925, Avg_Score = -222.73008830730103
Episode = 74, Score = -587.1123336747919, Avg_Score = -228.51393347186436
Episode = 75, Score = 2.623615960223333, Avg_Score = -224.902409261988
Episode = 76, Score = -135.4847773479276, Avg_Score = -223.52675338638707
Episode = 77, Score = -557.2655291565362, Avg_Score = -228.5834015041166
Episode = 78, Score = -164.01359116581452, Avg_Score = -227.61967299160463
Episode = 79, Score = -306.8706439954838, Avg_Score = -228.78512844754403
Episode = 80, Score = -207.63345195868027, Avg_Score = -228.47858241147352
Episode = 81, Score = 206.76293026921195, Avg_Score = -222.26084651603517
Episode = 82, Score = 68.79076900400453, Avg_Score = -218.16152798758392
Episode = 83, Score = -405.71885795212455, Avg_Score = -220.7664909037581
Episode = 84, Score = -131.36506818551752, Avg_Score = -219.54181388022056
Episode = 85, Score = -156.9417662792722, Avg_Score = -218.69586729101857
Episode = 86, Score = -318.975168204718, Avg_Score = -220.03292463653455
Episode = 88, Score = -58.24451307290101, Avg_Score = -217.90412974753934
Episode = 90, Score = -226.31855980515502, Avg_Score = -218.01340805997594
Episode = 92, Score = -282.7207154075187, Avg_Score = -218.84298892340595
Episode = 93, Score = -443.7373393297601, Avg_Score = -221.68975285260032
Episode = 94, Score = -240.60739513219562, Avg_Score = -221.92622338109527
Episode = 95, Score = -45.91496503744703, Avg_Score = -219.75324488302553
Episode = 96, Score = 167.05532387954884, Avg_Score = -215.03606721518926
Episode = 97, Score = 199.39069904618384, Avg_Score = -210.04297364577513
Episode = 98, Score = 209.42840809121205, Avg_Score = -205.04926672033483
Episode = 99, Score = 182.3532761392816, Avg_Score = -200.4915897455158
Episode = 100, Score = -203.25345033750693, Avg_Score = -200.5237044035622
Episode = 101, Score = 254.7213134919841, Avg_Score = -195.29100304844098
Episode = 102, Score = 117.22396051633642, Avg_Score = -191.73969664429578
Episode = 103, Score = -544.8260092823718, Avg_Score = -195.70695858404946
Episode = 104, Score = 223.70706267104458, Avg_Score = -191.0468027923262
Episode = 105, Score = 165.70642959458092, Avg_Score = -187.12643760126124
Episode = 106, Score = 167.24210493784125, Avg_Score = -183.27460561714057
Episode = 107, Score = -6.323932410172048, Avg_Score = -181.37191020631292
Episode = 108, Score = -80.35112978383728, Avg_Score = -180.29722105288235
Episode = 109, Score = 177.94630638264823, Avg_Score = -176.52623655356098
Episode = 110, Score = 215.7695628024611, Avg_Score = -172.43982197693575
Episode = 111, Score = 62.0807111418971, Avg_Score = -170.02208452210243
Episode = 112, Score = 177.35987254547976, Avg_Score = -166.47737067447403
Episode = 113, Score = 193.82926228965005, Avg_Score = -162.83790973544248
Episode = 114, Score = -116.01667533483183, Avg_Score = -162.36969739143638
Episode = 115, Score = -86.82708692231363, Avg_Score = -162.1516933102343
Episode = 116, Score = 172.60001864579328, Avg_Score = -158.96799246917612
Episode = 117, Score = 221.78320074594106, Avg_Score = -154.97416719901653
Episode = 118, Score = 180.5582948353304, Avg_Score = -152.5413844920319
Episode = 119, Score = -52.402714191296354, Avg_Score = -152.18787034314684
Episode = 120, Score = -161.10749457332676, Avg_Score = -149.54434654407459
Episode = 121, Score = -21.838885190700694, Avg_Score = -148.19502516513637
Episode = 122, Score = -81.52320989925113, Avg_Score = -146.95271819461544
Episode = 123, Score = -470.3543974599328, Avg_Score = -151.2515322376886
Episode = 124, Score = -259.32696444638395, Avg_Score = -152.7497947039468
Episode = 125, Score = 203.11151712029712, Avg_Score = -148.46280959335292
Episode = 126, Score = -121.2521532494208, Avg_Score = -148.1950108838769
Episode = 127, Score = -182.0160015685205, Avg_Score = -148.72670305719737
Episode = 128, Score = -195.7000569816841, Avg_Score = -149.76427604012076
Episode = 129, Score = -85.3774971600878, Avg_Score = -146.05275799518316
Episode = 130, Score = 151.67286491227225, Avg_Score = -142.32966225920597
Episode = 131, Score = -338.49480212192975, Avg_Score = -142.60775757491058
Episode = 132, Score = 164.03767883188107, Avg_Score = -139.35745939112255
Episode = 133, Score = 79.4471494273619, Avg_Score = -133.6792214212299
Episode = 134, Score = 120.83423776652988, Avg_Score = -129.87778707199882
Episode = 135, Score = 144.71384109030188, Avg_Score = -126.80682656391409
Episode = 136, Score = 169.54035059456865, Avg_Score = -121.4510523102393
Episode = 137, Score = 148.80627569132332, Avg_Score = -113.63692806535053
Episode = 138, Score = -144.26960670801498, Avg_Score = -104.90476540274463
Episode = 139, Score = 161.85404190479375, Avg_Score = -99.87200355116816
Episode = 140, Score = 182.11516554699676, Avg_Score = -96.11278979309319
Episode = 141, Score = 231.54573746961563, Avg_Score = -92.17439390116668
Episode = 142, Score = 202.2363549824343, Avg_Score = -88.262680060764
Episode = 143, Score = -209.57302113730856, Avg_Score = -87.17725971554879
Episode = 144, Score = 175.93610064801737, Avg_Score = -83.73931923570971
Episode = 145, Score = 227.46320348971744, Avg_Score = -76.48865684385181
Episode = 146, Score = 67.41800174040947, Avg_Score = -73.81639048184135
Episode = 147, Score = 92.66175241855595, Avg_Score = -70.8383391361366
Episode = 148, Score = 286.5778534987773, Avg_Score = -63.469738172333926
Episode = 149, Score = 60.74808441970778, Avg_Score = -60.469212886215516
Episode = 150, Score = 232.2746332054493, Avg_Score = -57.290548804464905
Episode = 151, Score = 235.69204364000709, Avg_Score = -52.36073727581752
Episode = 152, Score = 253.2804220003373, Avg_Score = -49.10322421706455
Episode = 153, Score = 204.60238954445632, Avg_Score = -46.44293895020976
Episode = 154, Score = 253.97336940126075, Avg_Score = -40.847800431997264
Episode = 155, Score = 259.8793293297646, Avg_Score = -35.753896690995305
Episode = 156, Score = 241.8675048831195, Avg_Score = -27.320138521072703
Episode = 157, Score = 232.02185350238324, Avg_Score = -24.122865523107315
Episode = 158, Score = 224.84963195135055, Avg_Score = -20.517074282823177
